"Cannot call Revers.io %1 service for reason : %2","Cannot call Revers.io %1 service for reason : %2"
"Cannot save a brand with empty name.","Cannot save a brand with empty name."
"Please select a brand attribute code...","Please select a brand attribute code..."
"Please select a modelType...","Please select a modelType..."
"Returns","Returns"
"If you want to return your product, please click on the button below. You will be forwarded to the returns platform.","If you want to return your product, please click on the button below. You will be forwarded to the returns platform."
"Sorry, something went wrong. Please contact the seller using the dedicated contact form.","Sorry, something went wrong. Please contact the seller using the dedicated contact form."
"To check the status of your ongoing returns request or open new return requests, please click on the button below.","To check the status of your ongoing returns request or open new return requests, please click on the button below."
"Unfortunately the products of this order are not available for return anymore. In case of error please contact the seller.","Unfortunately the products of this order are not available for return anymore. In case of error please contact the seller."
"Request return","Request return"
"View returns","View returns"
